"Brand","Day","P.value"
"Four","M-F",0.173183294550964
"Four","Sat",0.939645472526765
"New","M-F",0.406391533235847
"New","Sat",0.930907973304376
"Pak","M-F",0.202255410825569
"Pak","Sat",0.983291864285969
